complexity_metric,ml_metric,correlation,p_value,abs_correlation
kDN,best_accuracy,-0.9988551088320758,8.513299905341878e-08,0.9988551088320758
N1,best_accuracy,-0.9982673783630368,2.3977833870812844e-07,0.9982673783630368
N3,best_accuracy,-0.9978444389124881,4.1385955375290667e-07,0.9978444389124881
F4,best_accuracy,-0.9976174687449882,5.314908799641466e-07,0.9976174687449882
ONB,best_accuracy,-0.9973158112967939,7.1591533826344e-07,0.9973158112967939
Clust,best_accuracy,-0.9970231940006176,9.271227578789448e-07,0.9970231940006176
D. Over.,best_accuracy,-0.9968483671540965,1.0692007103386591e-06,0.9968483671540965
D3,best_accuracy,-0.9953322467434699,2.851915882020669e-06,0.9953322467434699
R,best_accuracy,-0.9953322467434699,2.851915882020669e-06,0.9953322467434699
CM,best_accuracy,-0.9953322467434699,2.851915882020669e-06,0.9953322467434699
N4,best_accuracy,-0.9929306054174174,8.040122400379502e-06,0.9929306054174174
Borderline,best_accuracy,-0.9917827500259823,1.1704573533545058e-05,0.9917827500259823
F2,best_accuracy,-0.981013201156595,9.443900797891008e-05,0.981013201156595
F1v,best_accuracy,-0.9774578418768074,0.0001447697049993505,0.9774578418768074
N2,best_accuracy,-0.9714479547735579,0.0002605382412633604,0.9714479547735579
F1,best_accuracy,-0.9606793758616702,0.0005764938670638145,0.9606793758616702
F3,best_accuracy,-0.95737138113809,0.0007042328860418785,0.95737138113809
LSC,best_accuracy,-0.950142894364354,0.001037700663268328,0.950142894364354
